Number of Shared Objects,Baseline 1 Accuracy,Baseline 1 SD,Transfer Accuracy,Transfer SD,Difference in Accuracy from Baseline 1
1,0.625,0.21650635094610965,0.5,0.3535533905932738,0.125
2,0.375,0.21650635094610965,0.25,0.25,0.125
3,0.375,0.21650635094610965,0.125,0.21650635094610965,0.25
